unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1674583200,2023-01-24 18:00:00,ETH/USD,1616.4,1624.2,1613.7,1620.1,361.08807628,584998.792381228
1674597600,2023-01-24 22:00:00,ETH/USD,1598.7,1601.8,1533.5,1562.2,2755.29791005,4304326.39508011
1674612000,2023-01-25 02:00:00,ETH/USD,1535.2,1543.1,1534.5,1541.0,584.76833176,901127.99924216
1674626400,2023-01-25 06:00:00,ETH/USD,1549.4,1557.3,1546.5,1556.0,745.41675597,1159868.47228932
1674640800,2023-01-25 10:00:00,ETH/USD,1546.4,1548.1,1539.6,1547.6,177.72128597,275041.462167172
1674655200,2023-01-25 14:00:00,ETH/USD,1554.9,1555.9,1534.3,1535.6,1031.53364186,1584023.060440216
1674669600,2023-01-25 18:00:00,ETH/USD,1549.0,1556.1,1548.1,1556.1,329.62717042,512932.839890562
1674684000,2023-01-25 22:00:00,ETH/USD,1619.0,1640.0,1576.1,1586.5,3988.87779198,6328354.6169762695
1674698400,2023-01-26 02:00:00,ETH/USD,1616.9,1622.9,1611.3,1614.2,225.02304259,363232.195348778
1674712800,2023-01-26 06:00:00,ETH/USD,1619.9,1622.1,1598.7,1612.7,913.8477699,1473762.29851773
1674727200,2023-01-26 10:00:00,ETH/USD,1606.9,1608.0,1593.3,1602.7,453.49328634,726813.690017118
1674741600,2023-01-26 14:00:00,ETH/USD,1618.4,1621.2,1597.3,1605.5,848.47603765,1362228.278447075
1674756000,2023-01-26 18:00:00,ETH/USD,1591.9,1607.2,1589.9,1601.2,227.21257228,363812.770734736
1674770400,2023-01-26 22:00:00,ETH/USD,1603.4,1609.2,1600.6,1601.3,202.79766831,324739.906264803
1674784800,2023-01-27 02:00:00,ETH/USD,1561.7,1573.0,1561.0,1571.1,639.14322064,1004157.913947504
1674799200,2023-01-27 06:00:00,ETH/USD,1583.6,1585.6,1578.6,1583.0,162.16682611,256710.08573213
1674813600,2023-01-27 10:00:00,ETH/USD,1578.8,1582.3,1574.4,1577.3,192.79050116,304088.457479668
1674828000,2023-01-27 14:00:00,ETH/USD,1572.5,1590.1,1564.3,1582.7,451.12206338,713990.889711526
1674842400,2023-01-27 18:00:00,ETH/USD,1607.9,1607.9,1598.4,1604.2,254.26694833,407895.038510986
1674856800,2023-01-27 22:00:00,ETH/USD,1599.8,1600.3,1587.9,1593.6,338.71698707,539779.390594752
1674871200,2023-01-28 02:00:00,ETH/USD,1595.5,1599.4,1593.0,1596.4,111.62659617,178200.698125788
1674885600,2023-01-28 06:00:00,ETH/USD,1600.5,1600.9,1593.7,1597.9,72.43567431,115744.963979949
1674900000,2023-01-28 10:00:00,ETH/USD,1592.4,1592.4,1578.3,1584.8,346.22336207,548694.784208536
1674914400,2023-01-28 14:00:00,ETH/USD,1573.3,1574.8,1570.9,1571.2,116.51337236,183065.810652032
1674928800,2023-01-28 18:00:00,ETH/USD,1577.2,1577.3,1571.3,1573.0,56.85013487,89425.26215051
1674943200,2023-01-28 22:00:00,ETH/USD,1566.4,1569.2,1562.4,1565.8,66.85827928,104686.693696624
1674957600,2023-01-29 02:00:00,ETH/USD,1604.2,1607.0,1584.1,1592.5,626.07062851,997017.4759021752
1674972000,2023-01-29 06:00:00,ETH/USD,1598.0,1598.4,1593.2,1594.3,41.73401759,66536.544243737
